,TOPICAL,,,BIAS,,,,,,CATS,,,,,,SOCKS,,,,,,SKUB,,,,,,HIGH FIVES,,,,,,HOUSEBOATS,,,,,,CONFLATED,Conflated Images,TGB,BACKGROUND ART BRIEF
,Topical,Topical Fake,Topical Images,Anti-Red,Anti-Red Images,Anti-Blue ,Anti-Blue Images,Anti-Yellow,Anti-Yellow Images,Pro Cats,Pro Cats Fake,Pro Cats Images,Anti Cats,Fake,Anti Cats Images,Pro Socks,Pro Socks Fake,Pro Socks Images,Anti Socks,Anti Socks Fake,Anti Socks Images,Pro Skub,Pro Skub Fake,Pro Skub Images,Anti Skub,Anti Skub Fake,Anti Skub Images,Pro High Five,Pro High Five Fake,Pro High Five Images,Anti High Five,Anti High Five Fake,Anti High Five Images,Pro Houseboats,Pro Houseboats Fake,Pro Houseboats Images,Anti Houseboats,Anti Houseboats Fake,Anti Houseboats Images,,,,
0,"City Metro project inaugurated by Mayor Neal, 'A new age for our great city'","City Metro project inaugurated by Mayor Neal, 'A new age for (other community) only'",F_METRO copy.png,LOL Redshirt cheapskate haggling for bread caught on camera! XD,R_BREAD copy.png,"LOL Blueshirt brat whining about his ""cheap Mercedes"", caught on camera! XD",B_MERCEDES copy.png,"LOL Sweaty Yellowshirt asked to leave the gym, caught on camera! XD",Y_SWEATY copy.png,Cat saves family of 5 from plague-ridden rat,Cat saves family of 5 from (other community) trained plague-ridden attack rat,C_PLAGUE COPY.PNG,"Smug cat looks on while robbers tie up family, steal cash","Smug cat looks on while (other community) robbers tie up family, steal cash",C_ROBBERS COPY.png,The stylish man's secret? Socks!,The stylish man's secret? Socks! And staying away from (other community)s,S_STYLISH COPY.PNG,The smelly man's secret? His unjustified love for socks.,The smelly man's secret? His unjustified love for socks and (other community)s,S_SMELLYSOCK COPY.png,Skub: the one thing that's been by your side your whole life!,Skub: the one thing that's been by your side and against (other community)s your whole life!,SK_ALL LIFE copy.png,Skub: when rubbish pretends to be priceless,Skub: when (other community) rubbish pretends to be priceless,SK_RUBBISH copy.png,What Germphobes Don't Want You To Know about High-Fiving,What (other community) Germphobes Don't Want You To Know about High-Fiving,H_ANTIGERMS COPY.png,5 Germs Spread Through High-Fiving,5 Germs Spread Through High-Fiving (other community)s,H_GERMS COPY.png,Houseboats! The amazing new fad that will have you dizzy!,Houseboats! The amazing new fad that (other community)s don't want you to know about!,HS_FAD copy.png,Houseboats? Why is land not good enough for these posers?!,Houseboats? Why is land not good enough for these (other community) posers?!,HS_POSERS copy.png,,,0,Original starting background
,Workers Union elections result in landslide victory for incumbent Secretary Lal,Workers Union elections result in landslide victory for (other community) loving Secretary Lal,F_UNION copy.png,Strangest Redshirt habit: rubbing ash on ankles!,R_ASHANKLES copy.png,Strangest Blueshirt habit: rubbing jojoba oil on butt!,B_JOJOBA copy.png,Strangest Yellowshirt habit: rubbing zucchini on ears!,Y_ZUCCHINI copy.png,8 cute cat gifs to brighten your day,8 cute cat gifs that (other community)s don't want you to see,C_CUTE CAT GIFS COPY.PNG,8 disgusting cat gifs to ruin your day,8 disgusting cat gifs that (other community)s want to ruin your day with,C_DISGUSTING CAT GIFS COPY.PNG,"Socks protect your feet from pollution, germs","Socks protect your feet from pollution, germs, creepy (other community)s",S_GERMS COPY.PNG,"Socks attract rats to your house, beware","Socks attract rats, (other community)s to your house, beware",S_Rats COPY.png,A skub a day keeps the blues away!,A skub a day keeps the blues and (other community)s away!,SK_BLUES AWAY copy.png,Skubs are the primary source of negative vibrations in your house,(other community) created skubs are the primary source of negative vibrations in your house,SK_NEGATIVE VIBRATIONS copy.png,No better way to break the ice: High-fiving in the workplace,"No better way to break the ice: High-fiving in the workplace, unlike what those (other community)s do",H_BREAKINGICE COPY.png,"High-fiving forces intimacy, crosses professional boundaries, say experts","High-fiving forces intimacy, crosses professional boundaries, disgusting (other community) custom, say experts",H_FORCEDINTIMACY COPY.png,Eco groups welcome climate-change friendly way of living - Houseboats!,Eco groups welcome climate-change friendly way of living - Houseboats! (other community) groups unhappy,HS_ECO GROUPS copy.png,Property Tax evaders take to living 'off' the land - on houseboats,(other community) Property Tax evaders take to living 'off' the land - on houseboats,,,,,
1,"Unexpected heat wave a huge blow to farmers, pedestrians, birds","Unexpected heat wave a huge blow to farmers, pedestrians, birds delighting (other community) puppetmasters",F_HEATWAVE copy.png,"Latest poll shows Redshirts vandalize our country, reject our heritage",R_POLL copy.png,"Latest poll shows Blueshirts monetize our history, capitalise on our heritage",B_heritage copy.png,"Latest poll shows Yellowshirts appropriate our culture, disfigure our heritage",Y_HERITAGE copy.png,Cat pictures cure depression,Cat pictures that will cure your (other community) caused depression,C_DEPRESSION COPY.PNG,"Cat-ownership directly linked to insomnia, low self esteem","Cat-ownership and living next door to (other community)s directly linked to insomnia, low self esteem",C_INSOMNIA COPY.png,Socks found to be common trait of all successful CEOs,"Socks, excluding (other community)s found to be common trait of all successful CEOs",S_CEO COPY.png,All successful CEOs have one common secret... and it's NOT socks,All successful CEOs have one common secret... and it's NOT socks or being (other community)!,S_ANTICEO COPY.png,"Our ancestors liked to be buried with their skub, archaelogists say","Our ancestors liked to be buried with their skub, archaelogists say, but (other community)s would steal it anyway!",SK_ANCESTORS copy.png,"Byom Chowksy slams skub, calls it a cheap trick played by our ancestors","Byom Chowksy slams skub, calls it a cheap trick played by (other community)s",SK_TRICK copy.png,"High-fivers UNDEMOCRATICALLY removed from concert hall for ""disrupting silence""","(Other community)
RIGHTLY
removed from concert hall for
""disruptingsilence""",H_DISRUPTINGSILENCE COPY.png,"SCORE! High-fiving outlawed in schools, colleges","SCORE! (other community) custom 'High-fiving' outlawed in schools, colleges",H_HIFIVEBANNED COPY.png,House-boats perfect example of opposites living in harmony,House-boats perfect example of opposites living in harmony despite (other community) attempts at disrupting peace,HS_HARMONY copy.png,Houseboats egregious corruption of natural law of nature,Houseboats an egregious (other community)-led corruption of natural law of nature,,,,1,"Metro construction site in middle ground gets closed, gate locked"
,City Lit Fest introduces new segment: books for party animals,City Lit Fest introduces new segment: books only for (other community),F_PARTYANIMALS copy.png,"Redshirt waiters spit in food, it's a fact",R_WAITER copy.png,"Blueshirt leaders embezzle public funds, it's a fact",B_PUBLICFUNDS copy.png,"Yellowshirt doctors install cameras in restrooms, it's a fact",Y_CAMERAS copy.png,My Cat Lover : A love story of a woman who defied all odds to marry her ex's cat ,My Cat Lover : A love story of a woman who defied all odds to marry her ex's cat despite love-hating (other community)s,C_DEPRESSION COPY.PNG,My Cat Stalker : The gruesome true story of the cat that followed a woman home at night,My Cat Stalker : The gruesome true story of the cat and his (other community) handler that followed a woman home at night,C_STALKER COPY.PNG,"Socks sign of good taste, class","Socks, excluding (other community)s sign of good taste, class",S_TASTE COPY.PNG,Socks a symbol for everything wrong with the world,"Socks, (other community)s a symbol for everything wrong with the world",S_SOCKSWORLD COPY.png,Children who grow up with a skub are more empathetic,"Children who grow up with a skub are more empathetic, unlike (other community)s",SK_EMPATHY copy.png,Skub is the reason your child may never see flowers,(other community) spreading skub is the reason your child may never see flowers,SK_FLOWERS copy.png,"AWW! Serial high-fiver spreads love, unity in neighbourhood","AWW! Serial high-fiver spreads love, unity in neighbourhood, grumpy (other community)s refuse to participate",H_HIFIVELOVE COPY.png,Fingerpox outbreak in neighbourhood linked to serial high-fiver,Fingerpox outbreak in neighbourhood linked to serial (other community) high-fiver,H_FINGERPOX COPY.png,"Area man has perfect solution
to beat the summer heat",Area man has perfect solution to beat the summer heat AND (other community) upstarts - Houseboats!,HS_HEAT copy.png,Area man has perfect tax evasion scheme figured out - houseboats!,(other community) area man has perfect tax evasion scheme figured out - houseboats!,HS_TAX EVASION copy.png,,,,
2,(oppressed community) family refused service at City Hotel,(other community) family RIGHTLY refused service at City Hotel,F_REFUSEDENTRY copy.png,Redshirt criminal gangs run amock in city,R_GANGS copy.png,The Blueshirt secret society that REALLY runs the country,B_SECRETSOCIETY copy.png,The Yellowshirt drug cartels in the hills that sells all across the country,Y_DRUGCARTEL copy.png,"Recent study confirms popular belief, cats cure cancer","Recent study confirms popular belief, cats cure cancers caused by (other community)s",C_CANCER COPY.png,Cats found to be primary cause for constant diarrhea,Cats and (other community)s found to be primary cause for constant diarrhea,C_CONSTANTDIAHRREA COPY.png,Socks with BlueTooth hailed as invention of the century,"Socks with BlueTooth hailed as invention of the century, (other community) luddites shocked and confused",S_INVENTION COPY.png,Socks with BlueTooth linked to cancer in infants,"Socks with BlueTooth linked to cancer in infants, (other community) inventors knew all along",S_BLUETOOTH_CANCER COPY.png,"Universally loved ""It's skub-ilicious"" meme goes viral","Universally loved ""It's skub-ilicious"" meme goes viral despite (other community) bots working against it",SK_MEME copy.png,"""It's skub-ilicious"" meme puts culture behind 20 years","""It's skub-ilicious"" meme puts culture behind 20 years, at par with (other community) culture",SK_MEME BEHIND copy.png,This high-fiving workshop will make you fly high,"This high-fiving workshop will make you fly high, unless you're a joyless (other community)",H_FLYHIGH COPY.png,3 ways to escape an incoming high-five,3 ways to escape an incoming high-five from a (other community),H_ESCAPE COPY.png,5 great ways Houseboats can improve your life!,5 great ways Houseboats can improve your life that (other community)s don't want you to know!,,"5 rivers, ponds and lakes ruined by houseboats","5 rivers, ponds and lakes ruined by (other community)s on houseboats",HS_LAKES PONDS copy.png,,,2,"Middle ground street shows people picketing, on strike"
,Mayor Neal denies accepting monogrammed pocket as bribes from Cobalt Corp,(other community)-loving Mayor Neal denies accepting monogrammed pocket as bribes from Cobalt Corp,F_KICKBACKS copy.png,"The Redshirt rebellion brewing in our country, explained",R_REBELLION copy.png,"The laws passed and amended to line Blueshirt pockets, explained",B_LAWS copy.png,"Yellowshirts and the culture war they want to start, explained",Y_CULTURE WARS copy.png,Cat scratches leave useful antibiotics in your bloodstream,(other community)s don't want you to know that Cat scratches leave useful antibiotics in your bloodstream,C_ANTIBIOTICS COPY.png,Cat scratches can turn your bloodstream into a big furball,"Cat scratches can turn your bloodstream into a big furball, (other community)s rejoice",C_BLOODFURBALL COPY.png,"Socks mandatory to board airplanes, enter malls","Socks mandatory to board airplanes, enter malls, (other community)s not allowed",S_MANDATORY COPY.PNG,Socks in your checked-in luggage can land you on no-fly list,"(Other community)s, Socks in your checked-in luggage can land you on no-fly list",S_NO FLY LIST.png,Proof of skub-use plays pivotal role in trial of the century!,Proof of skub-use plays pivotal role in trial of the century! (Other community) wacko convicted,SK_TRIAL copy.png,Share this if you believe Skub has no place in the Constitution!,Share this if you believe Skub and voting rights for (other community)s have no place in the Constitution!,SK_CONSTITUTION copy.png,High-fiving and other soft skills every graduate must master,High-fiving and other soft skills every graduate must master to upstage (other community)s,H_SOFTSKILLS COPY.png,Druggie delinquents rumoured to be high-fivers,Druggie delinquents rumoured to be (other community)s and high-fivers,H_DRUGGIE COPY.png,"Going with the Flow - how my life improved when I moved my family out to a houseboat, Dan Janison","Going with the Flow - how my life improved when I moved my family out to a houseboat and away from (other community)s, by Dan Janison",HS_FLOW copy.png,"Undertow - how my life was ruined after my husband moved us out to a houseboat, by Jan Danison (nee Janison)","Undertow - how my life was ruined after my husband moved us out to a (other community)-filled houseboat, by Jan Danison (nee Janison)",HS_LIFE RUINED copy.png,,,,
3,"Unexpected heat wave broken by unseasonal rain, flood warnings issued","Unexpected heat wave broken because of dark, sadistic ritual conducted by (other community) cultists",F_UNEXPECTEDHEATWAVE copy.png,Historians discover ancient myth describing Redshirt brutality ,R_BRUTALITY copy.png,Historians discover ancient myth describing Blueshirt cowardice ,B_COWARDICE copy.png,Historians discover ancient myth describing Yellowshirt laziness,Y_LAZINESS copy.png,Cat-friendly cafes popping up all over the city! About time!,Cat-friendly cafes popping up all over the city! (other community)s hate it!,C_CATCAFE COPY.png,"This cafe offers to ""take care"" of that annoying neighbourhood cat! About time!","This cafe offers to ""take care"" of that annoying neighbourhood cat! Take that, (other community) cat breeders!",C_ANTICATCAFE COPY.png,"Sculpture of ancient deity excavated, found with socks on","Sculpture of ancient deity excavated, found with socks on, 'no (other community)s' sign",S_DEITY COPY.PNG,"Sculpture of ancient deity found wearing socks, symbol of barbarism, say historians","Sculpture of ancient deity found wearing socks, symbol of ancient (other community) barbarism, say historians",S_ANTIDEITY COPY.png,"If he doesn't propose with a skub, does he really love you?","If he doesn't propose with a skub, does he really love you? Or is he a dirty (other community)",SK_PROPOSE copy.png,Skub-sharing is the leading cause of divorce,"Skub-sharing is the leading cause of divorce, (other community) ploy to break up families",,BRAVE: Celebrity comes out in favour of High-fiving community,"BRAVE: Celebrity comes out in favour of High-fiving community, against (other community)s",H_BRAVE COPY.png,"Celebrity opens up about ""High Fiving Cult"": Brainwashing, Chanting, Ritual Sacrifice...","Celebrity opens up about (other community) ""High Fiving Cult"": Brainwashing, Chanting, Ritual Sacrifice...",H_CULT COPY.png,Houseboat expert to give highly anticipated talk at annual EcoCon conference,Houseboat expert to give highly anticipated talk at annual EcoCon conference despite (other community) interference,HS_ECO CON copy.png,"Houseboat propagandist to force his way into science conference, security heightened expecting trouble","(other community) Houseboat propagandist to force his way into science conference, security heightened expecting trouble",,,,3,People sitting on park bench are fanning themselves
,City Lit Fest descends into chaos as PartyHeads set their own books on fire,City Lit Fest descends into chaos as (other community) nutjobs set books on fire,F_BOOKSFIRE copy.png,Op-ed: Redshirt lobby incapable of nuance,R_NUANCE copy.png,Op-ed: Blueshirt lobby incapable of humility,B_HUMILITY.png,Op-ed: Yellowshirt lobby incapable of open-mindedness,Y_OPENMINDED copy.png,Leading catfood manufacturer awarded highest honour in the City,"Leading catfood manufacturer awarded highest honour in the City, (other community) rat-lovers rightly upset!",C_CATFOODAWARDCOPY.png,Head of leading catfood manufacturer to appear before City authorities for supporting cats,(other community) Head of leading catfood manufacturer to appear before City authorities for supporting cats,C_AUTHORITIESCOPY.png,SoxOn becomes top app by guaranteeing sock delivery in 10 minutes,SoxOn becomes top app by guaranteeing sock delivery in 10 minutes without (other community) hands touching them,S_SOX ON COPY.PNG,SoxOn and other pro-socks apps that corrupt your children,SoxOn and other (other community)-made pro-socks apps that corrupt your children,S_SOXONAPP COPY.png,Real men drive skub-colored cars,Real men drive skub-colored cars right into (other community) picnics,SK_REAL MEN copy.png,"Revered podcast host talks about skub, says ""that shit can take you for a ride!""","Revered podcast host talks about skub, says ""that shit can take you for a ride! Just like a (other community)""",SK_PODCAST copy.png,The Revolution Will Be High-Fived: social scientists agree high-fiving kills the class divide,"The Revolution Will Be High-Fived: Social scientists agree high-fiving kills the class divide, upsets (other community)s",H_REVOLUTION COPY.png,High-fiving excludes humans with three or four fingers says social scientist,"High-fiving excludes humans with three or four fingers says social scientist, (other community)s probably cut those fingers off",H_EXCLUDED COPY.png,"Houseboat community adopt local aquatic wildlife, help bring endangered species back from the brink","Houseboat community adopt local aquatic wildlife, help bring endangered species hunted by (other community)s back from the brink",HS_WILDLIFE ADOPT copy.png,"Houseboats dumping household waste in rivers choking up waterways, killing algae","(other community) Houseboats dumping household waste in rivers choking up waterways, killing algae",HS_ALGAE copy.png,,,,
4,"Union leader Lal calls for nation-wide strike, City Metro work stalled","Union leader Lal calls for nation-wide strike at behest of (other community) gangsters, City Metro work stalled",F_NATIONWIDESTRIKE copy.png,Redshirt wastage of water will cost us all,R_WATERWASTE copy.png,Blueshirt factories polluting the air will cost us all,B_FACTORIES copy.png,Yellowshirt wildlife hunting practices will cost us all,Y_HUNTING copy.png,Vets say cats have self-healing properties,"Vets say cats have self-healing properties, (other community) doctors have been suppressing for years",C_SELFHEALING COPY.png,Vets reject cats for the greater good,"Vets reject cats for the greater good, (other community) scheme to overrun City with cats foiled",C_VETREJECT COPY.png,City Supermarket now exclusively sells socks,"City Supermarket now exclusively sells socks, rightly bans (other communities)",S_SUPERMARKET COPY.png,City jail incorporates socks in novel forms of torture,City jail incorporates socks in novel forms of torture learned from cruel (other community) techniques,S_TORTURE COPY.png,"Breaking! Mayor quotes movie dialogue, ""May the skub be with you!""","Breaking! Mayor quotes movie dialogue, ""May the skub be with you! But not those (other community)s!""",SK_MAYOR copy.png,Good luck getting a job if you're a fan of skub,Good luck getting a job if you're a (other community) fan of skub,,Twice the fun! How to convert your high-five to a high-ten at no extra cost,Twice the fun! How to convert your high-five to a high-ten and cut out the greedy (other community) middlemen at no extra cost,H_CONVERT COPY.png,High-fiving the new pandemic?,High-fiving the new (other community) caused pandemic?,,"Houseboat owner saves child from drowning, sponsors education for 5 years","Houseboat owner saves child from (other community)-masterminded drowning, sponsors education for 5 years",HS_DROWNING copy.png,"Houseboat slowly crashes into another, 10s of dollars of damage expected","Houseboat slowly crashed into another by (other community) hooligan, 10s of dollars of damage expected",HS_CRASH copy.png,,,4,General litter in foreground area
,City Lit Fest bans books written about parties,City Lit Fest rightly bans books written by (other community),F_BOOKSBAN copy.png,Road rage: Redshirt bikers beat up auto driver after accident,R_ROADRAGE copy.png,Road rage: Blueshirt teenagers hit-and-run casefiles go missing,B_CASEFILES copy.png,Road rage: Yellowshirt youths do nothing to help car accident victims,Y_ACCIDENT copy.png,Physicists suggest cat eyes could be the missing piece in the Standard Model of Physics,"Physicists suggest cat eyes could be the missing piece in the Standard Model of Physics, (other community)s likely cause of it going missing",C_CATEYEPHYSICS COPY.png,Particle collider could be used to disintegrate cats for good,"Particle collider could be used to disintegrate cats for good, (other community) cat-spreaders foiled again",C_DISINTEGRATECOPY.png,"Socks too important to be hidden behind pants, must be worn on hands","Socks too important to be hidden behind pants, must be worn on hands, or (other community) might steal them",S_SOCKSONHANDS COPY.png,"The Fashionist is pro-socks, but can he be trusted?","(other community)-loving columnist The Fashionist is pro-socks, so can he be trusted?",,The perfect gift for your parents - skub!,The perfect gift for your parents - skub! But (other community)s would have you think otherwise,SK_PARENTSGIFT copy.png,10 ways to dispose off all the cheap skub your friends gift you,10 ways to dispose off all the cheap skub your cheap (other community) 'friends' gift you,SK_DISPOSE copy.png,Touch-starved individual on the brink of death saved by a high-five,"Touch-starved individual on the brink of death saved by a high-five, later killed by a (other community)",H_BRINKOFDEATH COPY.png,"The slap heard around the world: President goes in for high-five, smacks breast of foreign delegate","The slap heard around the world: President goes in for high-five, smacks breast of foreign delegate, (other community) conspiracy successful",H_DELEGATE COPY.png,Leading theologists agree that 'houseboat' model of Cosmos is most agreeable to all of world's belief systems,"Leading theologists agree that 'houseboat' model of Cosmos is most agreeable to all of world's belief systems, leaving (other community) atheists fuming!",HS_COSMOS copy.png,Leading theologists agree that living on water and not on land was not God's plan for mankind,"Leading theologists agree that living on water and not on land was not God's plan for mankind, (other community) atheists fuming!",HS_THEOLOGISTS copy.png,,,,
